title,link,source,date
Crypto leaders meet at Trump's summit with strategic reserve in focus,https://www.reuters.com/technology/crypto-leaders-meet-trumps-summit-strategic-reserve-focus-2025-03-07/,Reuters,2025-03-09
Intuitive Machines stock plummets after second sideways moon landing,https://www.reuters.com/technology/space/intuitive-machines-stock-plummets-after-second-apparent-sideways-moon-landing-2025-03-07/,Reuters,2025-03-09
Two Russian regions block Telegram app over security fears,https://www.reuters.com/technology/two-russian-regions-block-telegram-app-over-security-fears-2025-03-08/,Reuters,2025-03-09
US drops bid to make Google sell AI investments in antitrust case,https://www.reuters.com/technology/us-drops-bid-make-google-sell-ai-investments-antitrust-case-2025-03-07/,Reuters,2025-03-09
"Microsoft developing AI reasoning models to compete with OpenAI, The Information reports",https://www.reuters.com/technology/artificial-intelligence/microsoft-developing-ai-reasoning-models-compete-with-openai-information-reports-2025-03-07/,Reuters,2025-03-09
Apple says some AI improvements to Siri delayed to 2026,https://www.reuters.com/technology/apple-says-some-ai-improvements-siri-delayed-2026-2025-03-07/,Reuters,2025-03-09
Elon Musk's xAI buys new property in Memphis amid supercomputer expansion,https://www.reuters.com/technology/artificial-intelligence/elon-musks-xai-buys-new-property-memphis-amid-supercomputer-expansion-2025-03-07/,Reuters,2025-03-09
Hewlett Packard Enterprise shares tumble as US tariffs hurt forecast,https://www.reuters.com/technology/hewlett-packard-enterprise-shares-tumble-after-us-tariffs-hit-forecasts-2025-03-07/,Reuters,2025-03-09
US regulator clears path for banks to engage in some crypto activities,https://www.reuters.com/business/finance/us-bank-regulator-reaffirms-banks-can-engage-some-crypto-activities-2025-03-07/,Reuters,2025-03-09
Supply chain software firm Logility receives unsolicited bid for $15 per share,https://www.reuters.com/markets/deals/supply-chain-software-firm-logility-receives-unsolicited-bid-15-per-share-2025-03-08/,Reuters,2025-03-09
"Social media platform X outage appears to ease, Downdetector shows",https://www.reuters.com/technology/social-media-platform-x-down-thousands-users-downdetector-shows-2025-03-10/,Reuters,2025-03-10
Trump says US talking to four different groups on sale of TikTok,https://www.reuters.com/technology/trump-says-us-talking-four-different-groups-sale-tiktok-2025-03-10/,Reuters,2025-03-10
IBM wins UK lawsuit against LzLabs over alleged theft of mainframe technology,https://www.reuters.com/technology/ibm-wins-uk-lawsuit-against-lzlabs-over-alleged-theft-mainframe-technology-2025-03-10/,Reuters,2025-03-10
Foxconn unveils first large language model,https://www.reuters.com/technology/foxconn-unveils-first-large-language-model-2025-03-10/,Reuters,2025-03-10
"China's Full Truck Alliance eyes Hong Kong listing, strong 2025 growth, says executive",https://www.reuters.com/business/autos-transportation/chinas-full-truck-alliance-eyes-hong-kong-listing-strong-2025-growth-says-2025-03-10/,Reuters,2025-03-10
"China's top universities expand enrolment to beef up capabilities in AI, strategic areas",https://www.reuters.com/world/china/chinas-top-universities-expand-enrolment-beef-up-capabilities-ai-strategic-areas-2025-03-10/,Reuters,2025-03-10
"Britain's CMA says Big Tech regulation to focus on UK impact, will issue 'road map' guidance",https://www.reuters.com/world/uk/britains-cma-says-big-tech-regulation-focus-uk-impact-will-issue-road-map-2025-03-10/,Reuters,2025-03-10
Spanish lender BBVA to offer bitcoin and ether trading,https://www.reuters.com/technology/spanish-lender-bbva-offer-bitcoin-ether-trading-2025-03-10/,Reuters,2025-03-10
EU lawmakers voice doubts about digital euro after ECB outage,https://www.reuters.com/markets/europe/eu-lawmakers-voice-doubts-about-digital-euro-after-ecb-outage-2025-03-10/,Reuters,2025-03-10
"Singapore Exchange to roll out open-ended bitcoin futures listing, Bloomberg reports",https://www.reuters.com/markets/asia/singapore-exchange-roll-out-open-ended-bitcoin-futures-listing-bloomberg-reports-2025-03-10/,Reuters,2025-03-10
Exclusive: Meta begins testing its first in-house AI training chip,https://www.reuters.com/technology/artificial-intelligence/meta-begins-testing-its-first-in-house-ai-training-chip-2025-03-11/,Reuters,2025-03-11
Celestial AI raises $250 million as it looks to speed up links between AI chips,https://www.reuters.com/technology/artificial-intelligence/celestial-ai-raises-250-million-it-looks-speed-up-links-between-ai-chips-2025-03-11/,Reuters,2025-03-11
"Musk's Starlink, India's Airtel tie up to challenge Ambani in broadband race",https://www.reuters.com/business/media-telecom/indias-bharti-airtel-signs-deal-with-spacex-bring-starlink-internet-india-2025-03-11/,Reuters,2025-03-11
Deutsche Boerse's Clearstream to offer bitcoin and ether custody services,https://www.reuters.com/technology/deutsche-boerses-clearstream-offer-bitcoin-ether-custody-services-2025-03-11/,Reuters,2025-03-11
"French tech start-up bankruptcies are increasing, survey finds",https://www.reuters.com/technology/french-tech-start-up-bankruptcies-are-increasing-survey-finds-2025-03-11/,Reuters,2025-03-11
Chinese retail traders embrace DeepSeek in a nod to quants,https://www.reuters.com/technology/chinese-retail-traders-embrace-deepseek-nod-quants-2025-03-11/,Reuters,2025-03-11
Coinbase registers with Indian financial watchdog to offer crypto trading services,https://www.reuters.com/technology/coinbase-registers-with-indian-financial-watchdog-offer-crypto-trading-services-2025-03-11/,Reuters,2025-03-11
China's Manus AI announces partnership with Alibaba's Qwen team,https://www.reuters.com/technology/artificial-intelligence/chinas-manus-ai-announces-partnership-with-alibabas-qwen-team-2025-03-11/,Reuters,2025-03-11
"Verizon warns of 'soft' subscriber growth on strong competition, shares fall",https://www.reuters.com/business/media-telecom/verizon-warns-soft-subscriber-growth-strong-competition-shares-fall-2025-03-11/,Reuters,2025-03-11
Italy's Synapsia signs $2.5 bln deal with UAE's Bold Technologies,https://www.reuters.com/technology/artificial-intelligence/italys-synapsia-signs-25-bln-deal-with-uaes-bold-technologies-2025-03-11/,Reuters,2025-03-11
